USERS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
user1,A1,A1,A1,A1,A1,A1,A5,A6,A10,A23,A25,A24,A5,A7,A1,A1,A1,A1,,,,,,,,,
user2,A1,A4,A7,A5,A20,A7,A9,,,,,,,,,,,,,,,,,,,,
user3,A1,A1,A23,A1,A1,A2,A2,A3,A3,A3,A5,A10,,,,,,,,,,,,,,,
user4,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,
user5,A2,A1,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,
user6,A3,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,
user7,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user8,A4,A4,A1,A1,,,,,,,,,,,,,,,,,,,,,,,
user9,A2,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user10,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user11,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user12,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user13,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user14,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user15,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user16,A1,A5,A6,A5,A1,,,,,,,,,,,,,,,,,,,,,,
user17,A1,A7,A1,,,,,,,,,,,,,,,,,,,,,,,,
user18,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user19,A8,A2,A8,A2,A3,A3,A3,A3,A1,A9,A1,A3,A1,A1,,,,,,,,,,,,,
user20,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user21,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user22,A10,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user23,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user24,A1,A11,A1,,,,,,,,,,,,,,,,,,,,,,,,
user25,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user26,A11,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user27,A11,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user28,A11,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user29,A12,A13,A12,A14,A15,A6,A5,A16,A10,A1,,,,,,,,,,,,,,,,,
user30,A13,A12,A13,A14,A15,A6,A5,A16,A10,A1,A1,,,,,,,,,,,,,,,,
user31,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user32,A2,A8,A2,A14,A14,A1,A1,,,,,,,,,,,,,,,,,,,,
user33,A9,A10,A1,A1,,,,,,,,,,,,,,,,,,,,,,,
user34,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user35,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user36,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user37,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user38,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user39,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user40,A17,,,,,,,,,,,,,,,,,,,,,,,,,,
user41,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user42,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user43,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user44,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user45,A7,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user46,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user47,A1,A18,A1,,,,,,,,,,,,,,,,,,,,,,,,
user48,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user49,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user50,A1,A1,A19,A20,A19,A4,A21,A7,A1,,,,,,,,,,,,,,,,,,
user51,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user52,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user53,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user54,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user55,A1,A1,A3,A2,A8,A22,A3,A3,A1,A22,A1,A1,A1,A1,A1,A1,A1,A1,A7,A1,A3,A23,A24,A23,A3,A11,A1
user56,A1,A6,A6,A1,A6,A6,A6,A6,A1,A1,,,,,,,,,,,,,,,,,
user57,A1,A1,A1,A1,A20,A1,A1,,,,,,,,,,,,,,,,,,,,
user58,A1,A1,A1,A8,A20,A23,A23,A10,A1,,,,,,,,,,,,,,,,,,
user59,A1,A1,A3,A2,A8,A2,A3,A3,A1,A22,A1,A1,A1,A1,,,,,,,,,,,,,
user60,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user61,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user62,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user63,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user64,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user65,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,
user66,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user67,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,
user68,A7,A1,A25,A25,A7,A1,,,,,,,,,,,,,,,,,,,,,
user69,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user70,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,
user71,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user72,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user73,A1,A1,A4,A22,A9,A5,A10,A3,A26,A23,A26,A3,A10,A1,,,,,,,,,,,,,
user74,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user75,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user76,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user77,A1,A11,A10,A26,A10,A26,A26,A26,A11,A1,,,,,,,,,,,,,,,,,
user78,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user79,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
